zoo,scientificName,commonName,givenName,gender,dateOfBirth,age,isTransportable
Huangli,Ovis musimon,Mouflon,Columbian rainbow boa,Male,3/17/2023,6,false
Rybno,Acrobates pygmaeus,"Glider, feathertail","Vulture, black",Male,1/10/2024,2,false
Jincun,Canis lupus baileyi,"Wolf, mexican",Raccoon dog,Female,10/9/2023,14,true
Balitai,Sarcorhamphus papa,"Vulture, king","Polecat, african",Genderfluid,3/16/2024,18,true
Mattawa,Psittacula krameri,Rose-ringed parakeet,Snake-necked turtle,Male,7/10/2023,7,false
Fraile Pintado,Didelphis virginiana,"Opossum, american virginia","Capuchin, white-fronted",Female,8/29/2022,3,true
Loures,Anser anser,Greylag goose,Turkey vulture,Female,4/16/2023,22,true
Beilun,Varanus albigularis,"Monitor, white-throated",Mandras tree shrew,Female,10/11/2023,16,true
Kuala Terengganu,Phalacrocorax carbo,Great cormorant,Sambar,Male,1/5/2024,20,true
Weepanapi,Priodontes maximus,"Armadillo, giant",Brown capuchin,Male,7/10/2023,20,false
Lyubim,Carduelis uropygialis,Yellow-rumped siskin,American buffalo,Female,12/17/2022,15,true
Glubokiy,Anas bahamensis,Bahama pintail,Southern hairy-nosed wombat,Female,1/30/2023,8,true
Nong Kung Si,Macropus agilis,Jungle kangaroo,"Duck, comb",Female,7/27/2022,6,false
Ulluaya,Connochaetus taurinus,"Wildebeest, blue","Otter, african clawless",Female,8/12/2023,27,true
Mingshuihe,Dasyprocta leporina,Agouti,Black curlew,Female,10/17/2022,2,true
Varāmīn,Neotis denhami,"Bustard, stanley","Gull, swallow-tail",Female,3/29/2023,24,false
Liwale,unavailable,Civet (unidentified),Galapagos tortoise,Female,11/14/2023,11,true
Xinxian,Mazama americana,"Brocket, red","Sandgrouse, yellow-throated",Bigender,5/5/2023,24,false
Ternate,Neotoma sp.,Woodrat (unidentified),Egyptian viper,Female,11/22/2023,12,true
Gande,Passer domesticus,House sparrow,Arctic hare,Female,3/10/2024,13,false
Gutalac,Hystrix cristata,"Porcupine, african",Tiger snake,Female,8/3/2022,16,true
Arrabal,Cacatua galerita,"Cockatoo, sulfur-crested","Ibis, puna",Female,11/26/2023,9,true
Chengnan,Bucephala clangula,Common goldeneye,Ant (unidentified),Male,12/27/2023,19,true
Mendenrejo,Zalophus californicus,California sea lion,"Boubou, southern",Female,12/15/2023,28,true
Digos,Tamiasciurus hudsonicus,"Squirrel, pine","Weaver, lesser masked",Male,11/16/2022,25,false
Al Ḩāḑir,Damaliscus dorcas,Blesbok,"Butterfly, canadian tiger swallowtail",Female,3/23/2023,24,true
Huangyang,Grus antigone,Sarus crane,Killer whale,Female,2/24/2023,22,false
Elias Fausto,Macropus eugenii,Dama wallaby,"Turkey, australian brush",Male,7/10/2023,18,false
Buray,Ornithorhynchus anatinus,Platypus,"Duck, blue",Male,2/21/2023,13,true
Mazār-e Sharīf,Raphicerus campestris,Steenbok,Cereopsis goose,Male,12/2/2023,19,true
Paris 12,Gazella thompsonii,"Gazelle, thomson's","Bear, polar",Female,1/24/2023,26,false
Juradó,Calyptorhynchus magnificus,Red-tailed cockatoo,"Kingfisher, malachite",Male,5/17/2023,2,false
Finspång,Oncorhynchus nerka,Sockeye salmon,Rufous-collared sparrow,Male,3/11/2024,4,false
Komyshnya,Alopochen aegyptiacus,"Goose, egyptian","Dove, laughing",Female,7/19/2023,25,false
Valeirinha,Mustela nigripes,Black-footed ferret,Red-tailed wambenger,Male,6/28/2023,22,true
Nanshi,Felis silvestris lybica,European wild cat,Silver-backed fox,Female,8/8/2023,1,true
Zhirnovsk,Cabassous sp.,Eleven-banded armadillo (unidentified),"Lizard, desert spiny",Male,11/13/2022,28,true
Georgiyevsk,Tachyglossus aculeatus,Short-beaked echidna,Grey phalarope,Female,4/9/2023,6,true
Mawang,Ramphastos tucanus,White-throated toucan,"Porcupine, north american",Female,2/7/2024,1,true
Shymkent,Anhinga rufa,"Darter, african",Currasow (unidentified),Female,1/19/2023,19,true
Kināna,Cygnus atratus,"Swan, black","Eagle, crowned",Female,1/29/2023,13,true
Shiqiao,Snycerus caffer,African buffalo,Golden brush-tailed possum,Female,8/3/2022,27,false
Aguas del Padre,Tachyglossus aculeatus,"Anteater, australian spiny","Skunk, striped",Bigender,11/1/2022,30,false
Pustá Polom,Otocyon megalotis,"Fox, bat-eared","Langur, common",Male,1/8/2023,4,false
Era,Graspus graspus,"Crab, red lava","Heron, green",Female,2/19/2024,29,true
Länsi-Turunmaa,Suricata suricatta,Suricate,Spotted deer,Male,5/4/2023,19,false
Argithéa,Haliaeetus leucoryphus,Pallas's fish eagle,"Grouse, sage",Female,4/12/2023,5,true
Shewopo,Cereopsis novaehollandiae,"Goose, cape barren",Blackish oystercatcher,Female,10/18/2023,30,true
Inta,Herpestes javanicus,"Mongoose, javan gold-spotted","Goose, cape barren",Female,11/16/2023,17,false
Manggissari,Certotrichas paena,Kalahari scrub robin,"Cardinal, red-capped",Male,3/3/2023,27,false
Santa Cruz,Naja sp.,Cobra (unidentified),"Butterfly, tropical buckeye",Male,3/19/2023,13,false
Pai do Vento,Chloephaga melanoptera,"Goose, andean",Yellow-headed caracara,Female,4/5/2023,11,false
Pamarayan,Geospiza sp.,Darwin ground finch (unidentified),Plains zebra,Female,6/27/2023,27,true
Shaozhai,Aonyx capensis,"Otter, african clawless",Magnificent frigate bird,Genderqueer,12/21/2023,30,true
Lubukgadang,Zosterops pallidus,"White-eye, pale","Raven, cape",Male,3/14/2024,25,false
Suso,Pseudalopex gymnocercus,Azara's zorro,North American beaver,Female,10/30/2023,15,true
Aborlan,Ramphastos tucanus,"Toucan, white-throated",Two-banded monitor,Female,3/30/2023,27,false
Mercedes,Varanus salvator,Two-banded monitor,Woodchuck,Male,5/2/2023,25,true
Thomassique,Zosterops pallidus,Cape white-eye,"Rattlesnake, eastern diamondback",Female,1/15/2023,17,true
Ji’an,Ornithorhynchus anatinus,Platypus,Rufous tree pie,Male,7/12/2022,1,false
